,year,id,journal,authors,title
7214,1997,B414,Phys.Lett.,Rabinovici & Schellekens,"On the classification of (2,1) heterotic strings"
7215,1997,B412,Phys.Lett.,de Barros & de Fora & Brazil & Institute & Russia),Renormalization group study of the higher derivative conformal scalar  model
7216,1997,B412,Phys.Lett.,Duff & Evans & Khuri & Lu & Minasian,The Octonionic Membrane
7217,1997,A12,Mod.Phys.Lett.,Ellis & Mavromatos & Nanopoulos,M Theory from World-Sheet Defects in Liouville String
7218,1998,D57,Phys.Rev.,Fulcher,Flavor independence and the dual superconducting model of QCD
7219,1997,B410,Phys.Lett.,Brandhuber & Itzhaki & Kaplunovsky & Sonnenschein & Yankielowicz,Comments on the M Theory Approach to N=1 SQCD and Brane Dynamics
7220,1997,L169,Class.Quant.Grav.,Dowker & Kirsten,Heat-kernel coefficients for oblique boundary conditions
7221,1998,B520,Nucl.Phys.,Hofman & Park,"Monads, Strings, and M Theory"
7222,1997,D6,Int.J.Mod.Phys.,Moniz,Wave Function of a Supersymmetric FRW Model with Vector Fields
7223,1997,D56,Phys.Rev.,Brito & Bazeia,Domain Ribbons Inside Domain Walls at Finite Temperature
7224,1998,B515,Nucl.Phys.,Dorey & Tateo,Excited states in some simple perturbed conformal field theories
7225,1997,D56,Phys.Rev.,Chibisov & Shifman,BPS-Saturated Walls in Supersymmetric Theories
7226,1997,B413,Phys.Lett.,de Alwis,A note on brane creation
7227,1998,D57,Phys.Rev.,Nojiri & Odintsov,Trace anomaly induced effective action for 2D and 4D dilaton coupled  scalars
7228,1997,B414,Phys.Lett.,Imamura,Born-Infeld Action and Chern-Simons Term from Kaluza-Klein Monopole in  M-theory
7229,1998,B516,Nucl.Phys.,Bilal & Ferrari,The BPS Spectra and Superconformal Points in Massive N=2 Supersymmetric  QCD
7230,1997,A30,J.Phys.,Korepin & Slavnov,The Riemann-Hilbert problem associated with the quantum Nonlinear  Schrodinger equation
7231,1998,B437,Phys.Lett.,Nishino,N=2 Chiral Supergravity in (10 + 2)-Dimensions As Consistent Background  for Super (2 + 2)-Brane
7232,1998,B529,Nucl.Phys.,Mathur,"Emission rates, the Correspondence Principle and the Information Paradox"
7233,1998,A13,Int.J.Mod.Phys.,Ohta & Zhou,Towards the Classification of Non-Marginal Bound States of M-branes and  Their Construction Rules
7234,1998,B423,Phys.Lett.,Kim & Yoon,Graceful exit problem and stress-energy-momentum tensors revisited in  the two-dimensional string cosmology
7235,1997,B507,Nucl.Phys.,Johnson,"From M-theory to F-theory, with Branes"
7236,1997,B412,Phys.Lett.,Floratos & Leontaris,Uncertainty relation and non-dispersive states in Finite Quantum  Mechanics
7237,1998,B519,Nucl.Phys.,Aldazabal & Font & Ibanez & Uranga & Violero,"Non-Perturbative Heterotic D=6,4 Orbifold Vacua"
7238,1998,A31,J.Phys.,Li & Naon,Equivalent bosonic theory for the massive Thirring model with non-local  interaction
7239,1997,D56,Phys.Rev.,Okuyama & Suzuki,Manifestly Gauge Covariant Treatment of Lattice Chiral Fermions. II
7240,1997,A12,Mod.Phys.Lett.,Shafiekhani & Khorrami,Exactly and Quasi-Exactly Solvable Models on the Basis of $osp(2|1)$
7241,1998,B421,Phys.Lett.,Roy,"SL(2, Z) Multiplets of Type II Superstrings in $D < 10$"
7242,1998,A13,Mod.Phys.Lett.,Miyazaki & Tsutsui,Quantum Mechanically Induced Wess-Zumino Term in the Principal Chiral  Model
7243,1998,C4,Eur.Phys.J.,Dragon & Kuzenko & Theis,The vector-tensor multiplet in harmonic superspace
7244,1997,B414,Phys.Lett.,Koikawa & Maki & Nakamula,Magnetic solutions to 2+1 dimensional gravity with dilaton field
7245,1997,D56,Phys.Rev.,Choi,Axions and the Strong CP Problem in M-theory
7246,1997,B410,Phys.Lett.,Koutsoumbas & Savvidy & Savvidy,Phase structure of four-dimensional gonihedric spin system
7247,1997,B409,Phys.Lett.,Green & Gutperle & Vanhove,One loop in eleven dimensions
7248,1997,A12,Int.J.Mod.Phys.,Aizawa & Kobayashi & Sato,"Notes on Curtright-Zachos Deformations of osp(1,2) and Super Virasoro  Algebras"
7249,1997,B414,Phys.Lett.,Shapiro,On the inflationary solutions in higher-derivative gravity with dilaton  field
7250,1998,B514,Nucl.Phys.,Daszkiewicz & Hasiewicz & Jaskolski,Non-Critical Light-Cone String
7251,1998,B431,Phys.Lett.,Kim,Second Virial Coefficient of Anyons without Hard Core
7252,1997,D56,Phys.Rev.,Bars,Duality Covariant Type IIB Supersymmetry and Nonperturbative  Consequences
7253,1997,D56,Phys.Rev.,Hamada,Supersymmetric Wilson Loops in IIB Matrix Model
7254,1998,A13,Int.J.Mod.Phys.,Bimonte & Musto & Stern & Vitale,2+1 Einstein Gravity as a Deformed Chern-Simons Theory
7255,1997,B411,Phys.Lett.,Boonstra & Peeters & Skenderis,Duality and asymptotic geometries
7256,1997,A30,J.Phys.,Adhikari & Ghosh,Renormalization in Nonrelativistic Quantum Mechanics
7257,1998,B421,Phys.Lett.,Strominger,Loop Corrections to the Universal Hypermultiplet
7258,1998,B510,Nucl.Phys.,Keski-Vakkuri & Kraus,Notes on Branes in Matrix Theory
7259,1998,B441,Phys.Lett.,Giacconi & Maltoni & Soldati,Non-trivial Behaviour of the Scattering Amplitude of Contact-interacting  Anyons
7260,1998,B510,Nucl.Phys.,Parkhomenko,Poisson-Lie T-duality and Complex Geometry in N=2 superconformal WZNW  models
7261,1997,D56,Phys.Rev.,Giovannini,"Cosmic microwave background polarization, Faraday rotation and  stochastic gravity-waves backgrounds"
7262,1997,A12,Int.J.Mod.Phys.,Chitaia & Gogilidze & Surovtsev,The Ostrogradsky Method for Local Symmetries. Constrained Theories with  Higher Derivatives
7263,1998,B516,Nucl.Phys.,Emparan,Absorption of Scalars by Extended Objects
7264,1997,B508,Nucl.Phys.,Gibbons & Papadopoulos & Stelle,HKT and OKT Geometries on Soliton Black Hole Moduli Spaces
7265,1997,B409,Phys.Lett.,Berman,"SL(2,Z) duality of Born-Infeld theory from self-dual electrodynamics in  6 dimensions"
7266,1997,B413,Phys.Lett.,Buchbinder & Hindawi & Ovrut,A Two-Form Formulation of the Vector-Tensor Multiplet in Central Charge  Superspace
7267,1997,B412,Phys.Lett.,Grisaru & Massar & Sevrin & Troost,"The Quantum Geometry of N=(2,2) Non-Linear Sigma-Models"
7268,1999,A14,Int.J.Mod.Phys.,Pavel & Pervushin,Reduced phase space quantization of massive vector theory
7269,1998,D57,Phys.Rev.,Buonanno & Meissner & Ungarelli & Veneziano,Classical Inhomogeneities in String Cosmology
7270,1998,D57,Phys.Rev.,Schaden & Rozenberg,Confinement in Covariant Gauges
7271,1997,B415,Phys.Lett.,Blau & Thompson,Euclidean SYM Theories by Time Reduction and Special Holonomy Manifolds
7272,1997,B413,Phys.Lett.,Candelas & Skarke,"F-theory, SO(32) and Toric Geometry"
7273,1998,D57,Phys.Rev.,McGraw,Evolution of a Non-Abelian Cosmic String Network
7274,1997,L479,J. Phys.,Batchelor & Seaton,Magnetic Correlation Length and Universal Amplitude of the Lattice E_8  Ising Model
7275,1998,A454,Proc.Roy.Soc.Lond.,Dolan,Geometry and Thermodynamic Fluctuations of the Ising Model on a Bethe  Lattice
7276,1998,D58,Phys.Rev.,Chamblin & Ashbourn-Chamblin & Emparan & Sornborger,Can extreme black holes have (long) Abelian Higgs hair?
7277,1998,D57,Phys.Rev.,Casadio & Harms & Leblanc,Statistical mechanics of Kerr-Newman dilaton black holes and the  bootstrap condition
7278,1997,D56,Phys.Rev.,Flanagan,Quantum inequalities in two dimensional Minkowski spacetime
7279,1997,L163,Class.Quant.Grav.,Deser & Levin,Accelerated Detectors and Temperature in (Anti) de Sitter Spaces
7280,1997,B112,Nuovo Cim.,Kim,Thermodynamics of Black Holes in Brans-Dicke Gravity
7281,1997,D56,Phys.Rev.,Guenther & Zhuk,Gravitational excitons from extra dimensions
7282,1997,B415,Phys.Lett.,Maggiore & Sturani,The fine tuning problem in pre-big-bang inflation
7283,1998,A237,Phys.Lett.,Bertoni & Finelli & Venturi,Adiabatic Invariants and Scalar Fields in a de Sitter Space-Time
7284,1998,B511,Nucl.Phys.,Ambjorn & Anagnostopoulos & Ichihara & Jensen & Kawamoto & Watabiki & Inst\. & Technology & ),The quantum space-time of c=-2 gravity
7285,1997,B409,Phys.Lett.,Gattringer & Hip & Lang,Quantum Fluctuations versus Topology - a Study in U(1)_2 Lattice Gauge  Theory
7286,1996,A109,Nuovo Cim.,Palle,"On the broken gauge, conformal and discrete symmetries in particle  physics"
7287,1997,D56,Phys.Rev.,Baacke & Heitmann & Patzold,Renormalization of nonequilibrium dynamics in FRW cosmology
7288,1997,A234,Phys.Lett.,Sukhatme & Rasinariu & Khare,Cyclic Shape Invariant Potentials
7289,1997,D56,Phys.Rev.,Morris,Cosmic Strings in Supergravity
7290,1997,B410,Phys.Lett.,Dvali & Pomarol,Supersymmetry Breaking with Vanishing F-terms in Supergravity Theories
7291,1997,D56,Phys.Rev.,Labelle & Zebarjad & Burgess,NRQED and Next-to-Leading Hyperfine Splitting in Positronium
7292,1997,D56,Phys.Rev.,Brodsky & Ellis & Gardi & Karliner & Samuel,"Pade Approximants, Optimal Renormalization Scales, and Momentum Flow in  Feynman Diagrams"
7293,1998,B526,Nucl.Phys.,Khalil & Kobayashi,Yukawa Unification in Moduli-dominant SUSY Breaking
7294,1997,A12,Mod.Phys.Lett.,Bagan & Fiol & Lavelle & McMullan,Infra-Red Finite Charge Propagation
7295,1998,B510,Nucl.Phys.,de Azcarraga & Macfarlane & Mountain & Bueno,Invariant tensors for simple groups
7296,1997,A56,Phys.Rev.,Ji & Jung & Park & Soh,Production of photons by the parametric resonance in the dynamical  Casimir effect
7297,1997,A12,Mod.Phys.Lett.,Salasnich,Quantum Chaos in a Yang-Mills-Higgs System
7298,1997,A235,Phys.Lett.,Brunelli & Das,A Lax Description for Polytropic Gas Dynamics
7299,1998,D57,Phys.Rev.,Park & Sin,p-Brane cosmology and phases of Brans-Dicke theory with matter
7300,1998,A13,Int.J.Mod.Phys.,Malik & Mishra & Rajasekaran,Dynamics in a noncommutative phase space
7301,1998,B511,Nucl.Phys.,Konishi & Terao,"CP, Charge Fractionalizations and Low Energy Effective Actions in the  SU(2) Seiberg-Witten Theories with Quarks"
7302,1997,B414,Phys.Lett.,Pronin & Stepanyantz,One-loop counterterms for higher derivative regularized Lagrangians
7303,1997,A12,Int.J.Mod.Phys.,Sutcliffe,BPS Monopoles
7304,1997,B414,Phys.Lett.,Lozano,Eleven Dimensions from the Massive D-2-brane
7305,1998,B521,Nucl.Phys.,Mohri,D-Branes and Quotient Singularities of Calabi-Yau Fourfolds
7306,1997,B507,Nucl.Phys.,Antoniadis & Ferrara & Minasian & Narain,R^4 Couplings in M and Type II Theories
7307,1998,D57,Phys.Rev.,Edelstein & Trobo & Brito & Bazeia,Kinks Inside Supersymmetric Domain Ribbons
7308,1998,A13,Int.J.Mod.Phys.,Alvarez-Gaume & Marino & Zamora,"Softly Broken N=2 QCD with Massive Quark Hypermultiplets, II"
7309,1997,B508,Nucl.Phys.,Kiritsis & Pioline,"On $R^4$ threshold corrections in IIB string theory and (p,q) string  instantons"
7310,1998,B517,Nucl.Phys.,Diaconescu & Gomis,Duality in Matrix Theory and Three Dimensional Mirror Symmetry
7311,1997,B410,Phys.Lett.,Kaplan & Michelson,Scattering of Several Multiply Charged Extremal D=5 Black Holes
7312,1997,A12,Mod.Phys.Lett.,Suzuki,Evaluation of Periods via Fibrations in Seiberg-Witten Theories and in  Type-II String
7313,1998,D57,Phys.Rev.,Ichinose,Weyl Anomaly of 2D Dilaton-Scalar Gravity and Hermiticity of System  Operator
7314,1998,D57,Phys.Rev.,Glazek & Wilson,Asymptotic Freedom and Bound States in Hamiltonian Dynamics
7315,1997,A30,J.Phys.,Bueno,Generalized Jacobi structures
7316,1999,A14,Mod.Phys.Lett.,Banerjee & Marino,A New Approach for Bosonization of Massive Thirring Model in Three  Dimensions
7317,1997,B413,Phys.Lett.,Bastianelli & Corradini,'t Hooft Anomaly Matching Conditions for Generalized Symmetries in 2D
7318,1999,C8,Eur.Phys.J.,German & Jiang,On quark mass correction to the string potential
7319,1997,A12,Mod.Phys.Lett.,Kummer & Liebl & Vassilevich,Hawking Radiation for Non-minimally Coupled Matter from Generalized 2D  Black Hole Models
7320,1997,A12,Mod.Phys.Lett.,Soloviev,Random lattice strings vs. type IIB matrix models
7321,1997,L195,Class.Quant.Grav.,Dall'Agata & Lechner & Sorokin,Covariant Actions for the Bosonic Sector of D=10 IIB Supergravity
7322,1997,D56,Phys.Rev.,Thorn,Supersymmetric Quantum Mechanics for String-Bits
7323,1998,B519,Nucl.Phys.,Candelas & Perevalov & Rajesh,Matter from Toric Geometry
7324,1998,B510,Nucl.Phys.,Mathieu & Watts,Probing integrable perturbations of conformal theories using singular
7325,1997,B409,Phys.Lett.,Xiaoping & Jiarong,The Asymptotic Method Developed from Weak Turbulent Theory and the  Nonlinear Permeability and Damping Rate in QGP
7326,1997,A12,Mod.Phys.Lett.,Buonanno & Gasperini & Ungarelli,A class of non-singular gravi-dilaton backgrounds
7327,1998,E57,Phys.Rev.,Casetti & Gatto & Modugno,Chaos in effective classical and quantum dynamics
7328,1998,B420,Phys.Lett.,Gotoh & Uematsu,Nonlinear Realization of Partially Broken N=2 Superconformal Symmetry in  Four Dimensions
7329,1998,D57,Phys.Rev.,Maslowski & Wieckowski,4th order similarity renormalization of a model hamiltonian
7330,1998,D57,Phys.Rev.,Amorim & Das,Supersymmetry and the Chiral Schwinger Model
7331,1998,B418,Phys.Lett.,Garcia-Bellido,Dual inflation
7332,1998,B431,Phys.Lett.,Tabar & Rouhani,Zamalodchikov's C-Theorem and The Logarithmic Conformal Field Theory
7333,1997,B412,Phys.Lett.,Bagger & Galperin,The tensor Goldstone multiplet for partially broken supersymmetry
7334,1997,B410,Phys.Lett.,Burgess & Macorra & Maksymyk & Quevedo,Fixing the Dilaton with Asymptotically Expensive Physics?
7335,1998,B419,Phys.Lett.,Brandt & Gomis & Simon,The rigid symmetries of bosonic D-strings
7336,1997,L115,Class.Quant.Grav.,Metsaev,Free totally (anti)symmetric massless fermionic fields in d-dimensional  anti-de Sitter space
7337,1997,B507,Nucl.Phys.,Vecchia & Frau & Pesando & Sciuto & Lerda & Russo,Classical p-branes from boundary state
7338,1997,B405,Phys.Lett.,Nirov & Plyushchay,Symmetries and classical quantization
7339,1998,D57,Phys.Rev.,Gremm,The Coulomb branch of N=1 supersymmetric SU(N_c) x SU(N_c) gauge  theories
7340,1998,A13,Int.J.Mod.Phys.,Lusanna & Valtancoli,Dirac's Observables for the SU(3)XSU(2)XU(1) Standard Model
7341,1998,B512,Nucl.Phys.,Juettner & Kluemper & Suzuki,From Fusion Hierarchy to Excited State TBA
7342,1996,A11,Mod.Phys.Lett.,Tochimura & Sato,On thermal phase structure of deformed Gross-Neveu model
7343,1999,A14,Mod.Phys.Lett.,Aghamohammadi & Alimohammadi & Khorrami,Uniqueness of the minimum of the free energy of the 2D Yang-Mills theory  at large N
7344,1998,B510,Nucl.Phys.,Alimohammadi & Khorrami & Aghamohammdi,Large-N limit of the generalized 2-dimensional Yang-Mills theories
7345,1998,A31,J.Phys.,Nowotny & Requardt,Dimension Theory of Graphs and Networks
7346,1998,B509,Nucl.Phys.,Andrianopoli & D'Auria & Ferrara & Fre' & Trigiante,"E_{7(7)} Duality, BPS Black-Hole Evolution and Fixed Scalars"
7347,1998,D57,Phys.Rev.,Bennett & Nielsen & Institute & Gainesville),The Initial Value Problem For Maximally Non-Local Actions
7348,1998,B514,Nucl.Phys.,Flohr,Singular Vectors in Logarithmic Conformal Field Theories
7349,1998,B512,Nucl.Phys.,Brazhnikov & Lukyanov,Angular quantization and form-factors in massive integrable models
7350,1997,D56,Phys.Rev.,Paniak,Order Parameter for Confinement in Large N Gauge Theories with  Fundamental Matter
7351,1998,B511,Nucl.Phys.,Bonini & Vian,Chiral gauge theories and anomalies in the Wilson renormalization group  approach
7352,1997,A12,Mod.Phys.Lett.,Ambjorn & Espriu & Sasakura,U(1) lattice gauge theory and N=2 supersymmetric Yang-Mills theory
7353,1999,B114,Nuovo Cim.,Kim & Kim,Classical and Quantum Instantons in Yang-Mills Theory in the Background  of de Sitter Spacetime
7354,1997,A12,Mod.Phys.Lett.,Antonov & Ebert,Curvature Expansion for the Gluodynamics String including Perturbative  Gluonic Contributions
7355,1998,A31,J.Phys.,Nassar & Tirkkonen,Excited states in the twisted XXZ spin chain
7356,1997,B508,Nucl.Phys.,Kabat & Rey,Wilson Lines and T-Duality in Heterotic M(atrix) Theory
7357,1997,B507,Nucl.Phys.,Banerjee & Marino,Different Approaches for Bosonization in Higher Dimensions
7358,1997,D56,Phys.Rev.,Pierre,Comparing D-branes and Black Holes with 0- and 6-brane Charge
7359,1998,D57,Phys.Rev.,Rosenberg,Testing causality violation on spacetimes with closed timelike curves
7360,1998,B518,Nucl.Phys.,Bailin & Kraniotis & Love,The Supersymmetric CP problem in Orbifold Compactifications
7361,1998,B509,Nucl.Phys.,Cremmer & Gervais,T Duality of Perturbative Characters for Closed Bosonic and Type II  String Theories
7362,1997,A12,Mod.Phys.Lett.,Kitazawa & Kuriki & Shigura,BRST Cohomology and Renormalizability of Quantum Gravity near Two  Dimensions
7363,1997,A30,J.Phys.,Ghosh,Screening in Anyon Gas
7364,1997,B413,Phys.Lett.,Bandos & Kummer,A Polynomial First Order Action for the Dirichlet 3-brane
7365,1997,D56,Phys.Rev.,Bertlmann & Sykora,On the Point-Splitting Method of the Commutator Anomaly of the Gauss Law  Operators
7366,1997,B415,Phys.Lett.,Ortin,A Note on the D-2-Brane of the Massive Type IIA Theory and Gauged Sigma  Models
7367,1998,B513,Nucl.Phys.,Kummer & Liebl & Vassilevich,Nonperturbative path integral of 2d dilaton gravity and two-loop effects  from scalar matter
7368,1998,B416,Phys.Lett.,Was,Trefoil knot and ad-hoc classification of elementary fields in the  Standard Model
7369,1998,B514,Nucl.Phys.,Acharya & Figueroa-O'Farrill & O'Loughlin & Spence,Euclidean D-branes and higher-dimensional gauge theory
7370,1998,B517,Nucl.Phys.,Gorsky & Gukov & Mironov,"Multiscale N=2 SUSY field theories, integrable systems and their  stringy/brane origin -- I"
7371,1997,A12,Mod.Phys.Lett.,Monastyrsky & Nechaev,Correlation functions for some conformal theories on Riemann surfaces
7372,1998,B510,Nucl.Phys.,Liu & Minasian,U-branes and T^3 fibrations
7373,1998,B509,Nucl.Phys.,Bachas & Fabre & Kiritsis & Obers & Vanhove,Heterotic / type I duality and D-brane instantons
7374,1997,B410,Phys.Lett.,Henneaux & Lemes & Sasaki & Sorella & Ventura & Vilar,A No-Go Theorem for the Nonabelian Topological Mass Mechanism in Four  Dimensions
7375,1997,B413,Phys.Lett.,Bergshoeff & de Roo & Eyras,Gauged Supergravity from Dimensional Reduction
7376,1997,B415,Phys.Lett.,David & Dhar & Mandal,Probing Type I' String Theory Using D0 and D4-Branes
7377,1997,B508,Nucl.Phys.,Russo & Tseytlin,One-loop four-graviton amplitude in eleven-dimensional supergravity
7378,1999,A14,Int.J.Mod.Phys.,Matusis,Interaction of non-parallel D1-branes
7379,1998,D57,Phys.Rev.,Gogilidze & Khvedelidze & Mladenov & Pavel,Hamiltonian reduction of SU(2) Dirac-Yang-Mills mechanics
7380,1997,D56,Phys.Rev.,Bassetto & Nardelli & Vianello,The Schwinger Model in Light-Cone Gauge
7381,1998,B416,Phys.Lett.,Howe & Lambert & West,A New Massive Type IIA Supergravity From Compactification
7382,1998,A13,Int.J.Mod.Phys.,Nojiri & Odintsov,Effective Potential for D-brane in Constant Electromagnetic Field
7383,1997,B415,Phys.Lett.,Nilles & Olechowski & Yamaguchi,Supersymmetry Breaking and Soft Terms in M-Theory
7384,1999,A14,Int.J.Mod.Phys.,Mitov & Stoilov & Stoyanov,On the Bound States in a Non-linear Quantum Field Theory of a Spinor  Field with Higher Derivatives
7385,1998,B442,Phys.Lett.,Spector,Anyon Statistics and the Witten Index
7386,1998,B525,Nucl.Phys.,Bimonte & Musto & Stern & Vitale,Hidden Quantum Group Structure in Einstein's General Relativity
7387,1997,B415,Phys.Lett.,Slavnov,Phase of a chiral determinant and global SU(2) anomaly
7388,1997,A12,Mod.Phys.Lett.,Doikou & Mezincescu & Nepomechie,Factorization of Multiparticle Scattering in the Heisenberg Spin Chain
7389,1998,B519,Nucl.Phys.,Lambert,D-brane Bound States and the Generalised ADHM Construction
7390,1998,D57,Phys.Rev.,Kastor & Traschen,A Very Effective String Model?
7391,1998,B512,Nucl.Phys.,LeClair & Ludwig & Mussardo,Integrability of Coupled Conformal Field Theories
7392,1998,B516,Nucl.Phys.,Blum & Dienes,Strong/Weak Coupling Duality Relations for Non-Supersymmetric String  Theories
7393,1998,B418,Phys.Lett.,Yasuta,Resummation of Vacuum Bubble Diagrams in Gaussian Propagator Model
7394,1998,B526,Nucl.Phys.,Kitsunezaki & Nishimura,Unitary IIB Matrix Model and the Dynamical Generation of the Space Time
7395,1997,B508,Nucl.Phys.,Rebhan & Nieuwenhuizen,No saturation of the quantum Bogomolnyi bound by two-dimensional  supersymmetric solitons
7396,1997,B507,Nucl.Phys.,Govindarajan,Heterotic M(atrix) theory at generic points in Narain moduli space
7397,1997,B413,Phys.Lett.,Lee & Thorlacius,Strings and D-Branes at High Temperature
7398,1999,A14,Int.J.Mod.Phys.,Esposito & Kamenshchik & Kirsten,On the Zero-Point Energy of a Conducting Spherical Shell
7399,1998,D57,Phys.Rev.,Horowitz & Polchinski,Self Gravitating Fundamental Strings
7400,1998,A239,Phys.Lett.,Fujikawa & Kubo,An extended q-deformed su(2) algebra and the Bloch electron problem
7401,1998,B522,Nucl.Phys.,Baulieu & Losev & Nekrasov,Chern-Simons and Twisted Supersymmetry in Higher Dimensions
7402,1998,D57,Phys.Rev.,Vaman & Visinescu,Spinning particles in Taub-NUT space
7403,1997,B508,Nucl.Phys.,Hacquebord & Verlinde,Duality symmetry of N=4 Yang-Mills theory on T^3
7404,1997,B413,Phys.Lett.,Gegenberg & Kunstatter,Solitons and Black Holes
7405,1998,D57,Phys.Rev.,Lu & Maharana & Mukherji & Pope,"Cosmological solutions, p-branes and the Wheeler-DeWitt equation"
7406,1998,B417,Phys.Lett.,Porfyriadis & Papadopoulos,Null Strings in Kerr Spacetime
7407,1997,B415,Phys.Lett.,Howe,Weyl Superspace
7408,1998,A13,Int.J.Mod.Phys.,Quandt & Reinhardt,Field Strength Formulation of SU(2) Yang-Mills Theory in the Maximal
7409,1998,B524,Nucl.Phys.,Acharya,On Mirror Symmetry for Manifolds of Exceptional Holonomy
7410,1997,B413,Phys.Lett.,Sen,Three-Dimensional Black Holes and String Theory
7411,1998,A13,Mod.Phys.Lett.,Fairlie,Moyal Brackets in M-Theory
7412,1998,B515,Nucl.Phys.,Kamimura & Kuriki,"Super-Weyl Invariant 2D Supergravity, Anomaly and WZ Action"
7413,1998,B513,Nucl.Phys.,Hanany & Hori,Branes and N=2 Theories in Two Dimensions
7414,1997,B414,Phys.Lett.,Klimcik,"Poisson-Lie T-duality and (1,1) supersymmetry"
7415,1998,B513,Nucl.Phys.,Blumenhagen,"Target Space Duality for (0,2) Compactifications"
7416,1997,D56,Phys.Rev.,Fosco & Rossini & Bariloche & Technology & Plata & Argentina),Abelian and Non-Abelian Induced Parity Breaking Terms at Finite  Temperature
7417,1998,D57,Phys.Rev.,Ezawa & Matsuo & Murakami,Matrix Regularization of an Open Supermembrane ---towards M-theory  five-branes via open supermembranes ---
7418,1998,B509,Nucl.Phys.,de Abreu & Banerjee & Wotzasek,Bose Symmetry and Chiral Decomposition of 2D Fermionic Determinants
7419,1998,B522,Nucl.Phys.,Sugawara & Sugiyama,D-brane Analyses for BPS Mass Spectra and U-duality
7420,1998,B520,Nucl.Phys.,Cremmer & Lu & Pope & Stelle,Spectrum-generating Symmetries for BPS Solitons
7421,1998,B416,Phys.Lett.,Antoniadis & Quiros,On the M-theory description of gaugino condensation
7422,1997,A12,Mod.Phys.Lett.,Guillou & Moreno & Nunez & Schaposnik,Duality between Topologically Massive and Self-Dual models
7423,1998,B512,Nucl.Phys.,Gato-Rivera,The Even and the Odd Spectral Flows on the N=2 Superconformal Algebras
7424,1998,B511,Nucl.Phys.,Klein & Louis,Singular Yukawa and gauge couplings in d=4 Heterotic String Vacua
7425,1999,A14,Int.J.Mod.Phys.,Balaska & Maeder & Ruehl,On the critical behaviour of hermitean f-matrix models in the double  scaling limit with f >= 3
7426,1997,D56,Phys.Rev.,Bars & Deliduman,"Superstrings with new supersymmetry in (9,2) and (10,2) dimensions"
7427,1998,B421,Phys.Lett.,Kuusk & Ord,Kinematics and uncertainty relations of a quantum test particle in a  curved space-time
7428,1998,B509,Nucl.Phys.,Elitzur & Giveon & Kutasov & Rabinovici,Algebraic Aspects of Matrix Theory on T^d
7429,1998,G24,J.Phys.,Borstnik & Borstnik,Left and right handedness of fermions and bosons
7430,1998,D58,Phys.Rev.,Torre & Varadarajan,Quantum Fields at Any Time
7431,1998,B515,Nucl.Phys.,Lalak & Thomas,"Gaugino Condensation, Moduli Potentials and Supersymmetry Breaking in  M-Theory Models"
7432,1998,B515,Nucl.Phys.,Schmidhuber,Wrapped M-branes and Three-dimensional Topologies
7433,1998,A13,Int.J.Mod.Phys.,Calixto & Aldaya & Guerrero,Generalized Conformal Symmetry and Extended Objects from the Free  Particle
7434,1996,A29,J.Phys.,Adhikari & Frederico & Marinho,Lattice Discretization in Quantum Scattering
7435,1997,D56,Phys.Rev.,Schwarz,Colliding Axion-Dilaton Plane Waves from Black Holes
7436,1998,A13,Int.J.Mod.Phys.,Corrigan,On duality and reflection factors for the sinh-Gordon model
7437,1998,B510,Nucl.Phys.,Bellucci & Gribanov & Ivanov & Krivonos & Pashnev,Nonlinear realizations of superconformal and W algebras as embeddings of  strings
7438,1998,B417,Phys.Lett.,Russo,An ansatz for a non-perturbative four-graviton amplitude in type IIB  superstring theory
7439,1998,B513,Nucl.Phys.,Hanany & Strassler & Zaffaroni,Confinement and Strings in MQCD
7440,1998,A13,Mod.Phys.Lett.,Antonov,Fluctuating Strings in the Universal Confining String Theory and  Gluodynamics
7441,1998,B416,Phys.Lett.,Brax & Mourad,Open Supermembranes Coupled to M-Theory Five-Branes
7442,1998,B522,Nucl.Phys.,Losev & Moore & Shatashvili,M&m's
7443,1998,D57,Phys.Rev.,Henningson & Yi,Four-dimensional BPS-spectra via M-theory
7444,1998,D57,Phys.Rev.,Nesterenko & Pirozhenko,Simple method for calculating the Casimir energy for sphere
7445,1997,B414,Phys.Lett.,Baulieu & Laroche & Ohta & Picco,A Note on Consistent Anomalies
7446,1998,B519,Nucl.Phys.,Nakatsu & Ohta & Yokono & Yoshida,Higgs Branch of N=2 SQCD and M theory Branes
7447,1998,B416,Phys.Lett.,Brunner & Karch,Matrix Description of M-theory on $T^6$
7448,1998,B514,Nucl.Phys.,Jaegher & de Wit & Kleijn & Vandoren,Special geometry in hypermultiplets
7449,1997,B415,Phys.Lett.,Chaves,Boson metastable ground states with spontaneous symmetry breaking
7450,1997,A30,J.Phys.,Hosotani,Gauge Theory Description of Spin Ladders
7451,1997,B413,Phys.Lett.,Kastrup,Canonical Quantum Statistics of an Isolated Schwarzschild Black Hole  with a Spectrum E_n = sigma sqrt{n} E_P
7452,1997,D56,Phys.Rev.,Zaslavskii,Geometry of nonextreme black holes near the extreme state
7453,1997,D56,Phys.Rev.,Campanelli & Lousto,Regularization of the Teukolsky Equation for Rotating Black Holes
7454,1997,D56,Phys.Rev.,Zaslavskii,Dilaton black holes in grand canonical ensemble near the extreme state
7455,1998,B523,Nucl.Phys.,Menotti,Group theoretical derivation of Liouville action for Regge surfaces
